team_id,team_name,week,start_date,end_date,current_date,roster_ids,roster_names,selected_positions
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2021-01-01,"[5187, 5667, 5476, 6165, 5185, 4175, 6356, 5958, 4472, 5192, 5600, 5637, 6019, 6171, 6218]","['Dennis Schroder', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Giannis Antetokounmpo', 'Paul Millsap', 'James Wiseman', 'Deandre Ayton', 'Brook Lopez', 'Mason Plumlee', 'Ben Simmons', 'Buddy Hield', 'Collin Sexton', 'Rui Hachimura', 'Kevin Porter Jr.']","{5187: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5185: 'PF', 4175: 'F', 6356: 'C', 5958: 'C', 4472: 'Util', 5192: 'Util', 5600: 'BN', 5637: 'BN', 6019: 'BN', 6171: 'IL', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2021-01-02,"[5600, 5667, 5476, 6165, 5185, 6171, 6356, 5958, 5637, 6019, 5187, 4472, 5192, 6218, 6397]","['Ben Simmons', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Giannis Antetokounmpo', 'Rui Hachimura', 'James Wiseman', 'Deandre Ayton', 'Buddy Hield', 'Collin Sexton', 'Dennis Schroder', 'Brook Lopez', 'Mason Plumlee', 'Kevin Porter Jr.', 'Isaac Okoro']","{5600: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5185: 'PF', 6171: 'F', 6356: 'C', 5958: 'C', 5637: 'Util', 6019: 'Util', 5187: 'BN', 4472: 'BN', 5192: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,2,2020-12-28,2021-01-03,2021-01-03,"[5187, 5667, 5476, 6165, 5192, 6171, 6356, 5958, 5637, 6019, 5600, 5185, 4472, 6218, 6397]","['Dennis Schroder', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Mason Plumlee', 'Rui Hachimura', 'James Wiseman', 'Deandre Ayton', 'Buddy Hield', 'Collin Sexton', 'Ben Simmons', 'Giannis Antetokounmpo', 'Brook Lopez', 'Kevin Porter Jr.', 'Isaac Okoro']","{5187: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5192: 'PF', 6171: 'F', 6356: 'C', 5958: 'C', 5637: 'Util', 6019: 'Util', 5600: 'BN', 5185: 'BN', 4472: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-04,"[5600, 5667, 5476, 6165, 5192, 5185, 6356, 4472, 5637, 6019, 5187, 6171, 5958, 6218, 6397]","['Ben Simmons', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Brook Lopez', 'Buddy Hield', 'Collin Sexton', 'Dennis Schroder', 'Rui Hachimura', 'Deandre Ayton', 'Kevin Porter Jr.', 'Isaac Okoro']","{5600: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 4472: 'C', 5637: 'Util', 6019: 'Util', 5187: 'BN', 6171: 'BN', 5958: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-05,"[5187, 5667, 5476, 6165, 5192, 5185, 6356, 4472, 5637, 6019, 5600, 6171, 5958, 6218, 6397]","['Dennis Schroder', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Brook Lopez', 'Buddy Hield', 'Collin Sexton', 'Ben Simmons', 'Rui Hachimura', 'Deandre Ayton', 'Kevin Porter Jr.', 'Isaac Okoro']","{5187: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 4472: 'C', 5637: 'Util', 6019: 'Util', 5600: 'BN', 6171: 'BN', 5958: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-06,"[5600, 5667, 5476, 6165, 5192, 5185, 6356, 5958, 6019, 6171, 4472, 5637, 5187, 6218, 6397]","['Ben Simmons', 'Malcolm Brogdon', 'Terry Rozier', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Deandre Ayton', 'Collin Sexton', 'Rui Hachimura', 'Brook Lopez', 'Buddy Hield', 'Dennis Schroder', 'Kevin Porter Jr.', 'Isaac Okoro']","{5600: 'PG', 5667: 'SG', 5476: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 5958: 'C', 6019: 'Util', 6171: 'Util', 4472: 'BN', 5637: 'BN', 5187: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-07,"[5600, 5667, 5187, 6165, 5192, 5185, 6356, 4472, 5637, 6019, 5476, 6171, 5958, 6218, 6397]","['Ben Simmons', 'Malcolm Brogdon', 'Dennis Schroder', 'RJ Barrett', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Brook Lopez', 'Buddy Hield', 'Collin Sexton', 'Terry Rozier', 'Rui Hachimura', 'Deandre Ayton', 'Kevin Porter Jr.', 'Isaac Okoro']","{5600: 'PG', 5667: 'SG', 5187: 'G', 6165: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 4472: 'C', 5637: 'Util', 6019: 'Util', 5476: 'BN', 6171: 'BN', 5958: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-08,"[5476, 6165, 5187, 6171, 5192, 5185, 6356, 4472, 5637, 5958, 5600, 5667, 6019, 6218, 6397]","['Terry Rozier', 'RJ Barrett', 'Dennis Schroder', 'Rui Hachimura', 'Mason Plumlee', 'Giannis Antetokounmpo', 'James Wiseman', 'Brook Lopez', 'Buddy Hield', 'Deandre Ayton', 'Ben Simmons', 'Malcolm Brogdon', 'Collin Sexton', 'Kevin Porter Jr.', 'Isaac Okoro']","{5476: 'PG', 6165: 'SG', 5187: 'G', 6171: 'SF', 5192: 'PF', 5185: 'F', 6356: 'C', 4472: 'C', 5637: 'Util', 5958: 'Util', 5600: 'BN', 5667: 'BN', 6019: 'BN', 6218: 'IL', 6397: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-09,"[5476, 5667, 5600, 6171, 5192, 5185, 4472, 5958, 5637, 6019, 6165, 5187, 6356, 6218]","['Terry Rozier', 'Malcolm Brogdon', 'Ben Simmons', 'Rui Hachimura', 'Mason Plumlee', 'Giannis Antetokounmpo', 'Brook Lopez', 'Deandre Ayton', 'Buddy Hield', 'Collin Sexton', 'RJ Barrett', 'Dennis Schroder', 'James Wiseman', 'Kevin Porter Jr.']","{5476: 'PG', 5667: 'SG', 5600: 'G', 6171: 'SF', 5192: 'PF', 5185: 'F', 4472: 'C', 5958: 'C', 5637: 'Util', 6019: 'Util', 6165: 'BN', 5187: 'BN', 6356: 'BN', 6218: 'IL'}"
402.l.42709.t.5,Ay-ton of drugs,3,2021-01-04,2021-01-10,2021-01-10,"[5187, 6165, 5600, 6171, 5192, 5185, 5958, 6356, 5637, 6019, 5476, 5667, 4472, 6218]","['Dennis Schroder', 'RJ Barrett', 'Ben Simmons', 'Rui Hachimura', 'Mason Plumlee', 'Giannis Antetokounmpo', 'Deandre Ayton', 'James Wiseman', 'Buddy Hield', 'Collin Sexton', 'Terry Rozier', 'Malcolm Brogdon', 'Brook Lopez', 'Kevin Porter Jr.']","{5187: 'PG', 6165: 'SG', 5600: 'G', 6171: 'SF', 5192: 'PF', 5185: 'F', 5958: 'C', 6356: 'C', 5637: 'Util', 6019: 'Util', 5476: 'BN', 5667: 'BN', 4472: 'BN', 6218: 'IL'}"
