player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
5767,season_2019,De'Aaron Fox,99,,Check Da Statistacss,391/815,241/342,51,1635,815,391,0.48,342,241,0.705,185,54,0.292,1077,35,161,196,348,74,25,158,145,38.629381048386996,23.38234475806443
5769,season_2019,Lauri Markkanen,84,INJ,Check Da Statistacss,251/591,126/153,50,1490,591,251,0.425,153,126,0.824,317,109,0.344,737,60,253,313,74,42,23,81,96,10.992889112903166,27.218794354838664
5822,season_2019,Dennis Smith Jr.,27,,Mount Zion💪🏾,72/211,27/53,34,538,211,72,0.341,53,27,0.509,54,16,0.296,187,21,57,78,98,28,8,58,65,-2.8946612903225954,-2.6724012096774277
5824,season_2019,Malik Monk,40,,Keldon's Johnson,212/488,82/100,55,1170,488,212,0.434,100,82,0.82,204,58,0.284,564,27,130,157,114,25,16,77,74,11.19283064516124,17.385818548387068
5826,season_2019,Donovan Mitchell,100,,Keldon's Johnson,602/1342,278/322,69,2362,1342,602,0.449,322,278,0.863,473,173,0.366,1655,53,251,304,294,70,14,184,172,40.81341532258051,70.89616532258056
5827,season_2019,Bam Adebayo,100,GTD,Josh's Unreal Team,440/790,264/382,72,2415,790,440,0.557,382,264,0.691,14,2,0.143,1146,176,559,735,368,82,93,204,182,77.35040322580637,21.91785483870958
5832,season_2019,John Collins,99,,Josh's Unreal Team,353/605,120/150,41,1359,605,353,0.583,150,120,0.8,147,59,0.401,885,116,300,416,60,31,66,75,138,71.23411895161281,23.04266129032255
5835,season_2019,Jarrett Allen,90,,Ryan's Team,302/465,171/270,70,1854,465,302,0.649,270,171,0.633,6,0,0.0,775,216,455,671,110,40,92,77,162,80.874504032258,4.278792338709625
5836,season_2019,OG Anunoby,83,INJ,JR Dreamers,286/566,72/102,69,2069,566,286,0.505,102,72,0.706,228,89,0.39,733,80,284,364,108,96,45,79,167,35.405762096774126,7.057596774193523
5840,season_2019,Kyle Kuzma,57,,Mount Zion💪🏾,291/668,114/155,61,1522,668,291,0.436,155,114,0.735,272,86,0.316,782,52,221,273,80,28,26,91,126,15.945743951612835,14.480528225806413
5842,season_2019,Derrick White,62,INJ,THANKS 4 DAFREEBANDZ,253/552,180/211,68,1680,552,253,0.458,211,180,0.853,216,79,0.366,765,35,188,223,241,44,59,89,152,19.429481854838656,44.10399193548381
5843,season_2019,Josh Hart,38,,Ryan's Team,225/532,85/115,65,1756,532,225,0.423,115,85,0.739,354,121,0.342,656,61,364,425,108,63,23,75,160,9.40418346774188,11.136885080645133
5858,season_2019,Dillon Brooks,46,,Ryan's Team,435/1068,164/203,73,2111,1068,435,0.407,203,164,0.808,411,147,0.358,1181,68,175,243,150,63,27,124,278,11.22142137096763,32.80363709677415
5880,season_2019,Daniel Theis,52,,Herro Ball,241/426,87/114,65,1568,426,241,0.566,114,87,0.763,96,32,0.333,601,140,286,426,111,37,84,54,219,44.53592540322574,13.486929435483844
5894,season_2019,Chris Boucher,83,,JR Dreamers,141/299,91/116,62,818,299,141,0.472,116,91,0.784,118,38,0.322,411,107,170,277,26,22,61,28,114,12.802288306451576,16.018018145161264
5905,season_2019,Royce O'Neale,33,,Check Da Statistacss,158/365,42/55,71,2049,365,158,0.433,55,42,0.764,244,92,0.377,450,27,362,389,180,59,32,61,202,8.18382661290319,6.55293145161289
